"","x"
"Age",135.64589094584
"TotalWorkingYears",133.630625544706
"YearsWithCurrManager",127.849590502438
"JobLevel",126.00799920588
"MonthlyIncome",124.068663738696
"YearsInCurrentRole",121.646686570976
"YearsAtCompany",103.240037438516
"StockOptionLevel",97.937045258367
"JobInvolvement",93.6556458826455
"BusinessTravel",90.1498555738064
"EnvironmentSatisfaction",66.4491601450781
"DistanceFromHome",60.0175437994873
"JobSatisfaction",57.2621183545644
"DailyRate",48.6107780721912
"WorkLifeBalance",33.8970181852871
"YearsSinceLastPromotion",28.294423129366
"Education",27.9732058246232
"PercentSalaryHike",20.4627557740157
"RelationshipSatisfaction",19.8352738442241
"TrainingTimesLastYear",18.7625845677565
"NumCompaniesWorked",12.8197896955222
"PerformanceRating",9.50943093940687
"MonthlyRate",5.25143252829783
